ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,43,0,704061,0
1,44,0,711057,0
2,44,0,711057,0
3,37,0,711057,0
4,41,0,711057,0
5,41,0,711061,0
6,41,0,711061,0
7,41,0,711061,0
8,42,0,711061,0
9,42,0,711061,0
10,42,0,711061,0
11,42,0,711061,0
12,42,0,711061,0
13,43,0,711061,0
14,43,0,711061,0
15,44,0,711061,0
16,44,0,711061,0
17,44,0,711061,0
18,9,0,711061,0
19,3,0,711061,0
20,7,0,711061,0
21,7,0,711061,0
22,8,0,711061,0
23,11,0,711061,0
24,11,0,711061,0
25,11,0,711061,0
26,11,0,711061,0
27,11,0,711061,0
28,11,0,711061,0
29,12,0,711061,0
30,12,0,711061,0
31,12,0,711061,0
32,12,0,711061,0
33,9,0,711065,0
34,9,0,711065,0
35,3,0,711065,0
36,7,0,711065,0
37,7,0,711065,0
38,9,0,711065,0
39,9,0,711065,0
40,9,0,711065,0
41,9,0,711065,0
42,10,0,711065,0
43,11,0,711065,0
44,11,0,711065,0
45,11,0,711065,0
46,11,0,711065,0
47,11,0,711065,0
48,11,0,726469,0
49,11,0,726469,0
50,11,0,726469,0
51,11,0,726469,0
52,11,0,726469,0
53,11,0,726469,0
54,21,0,726469,0
55,21,0,726469,0
56,21,0,726469,0
57,21,0,726469,0
58,21,0,728145,0
59,21,0,728145,0
60,21,0,728145,0
