ts,mem_some_total_us,io_some_total_us
0,38527,51432514
1,38527,51819595
2,38527,52386007
3,38527,53012916
4,38527,53604716
5,38527,54025338
6,38527,54432273
7,38527,54884383
8,38527,55304187
9,38527,55628317
10,38527,55907442
11,38527,56124455
12,38527,56275664
13,38527,56471880
14,38527,56661711
15,38527,56833590
16,38622,56972829
17,38998,57099457
18,39577,57240730
19,40149,57396448
20,40739,57551425
21,41219,57671409
22,41633,57814548
23,41989,57936257
24,42489,58087232
25,42831,58198422
26,43250,58328441
27,43711,58473618
28,44233,58616344
29,44737,58757184
30,45134,58934857
31,45520,59138841
32,45920,59327843
33,46286,59495052
34,46835,59647576
35,47372,59848718
36,48008,60057167
37,48444,60237114
38,48838,60413914
39,49561,60639055
40,50260,60901122
41,50676,61091610
42,51332,61335696
43,51942,61535427
44,52750,61786820
45,53286,61986417
46,53856,62232750
47,54358,62476366
48,54869,62625925
49,54869,63037810
50,54869,63381785
51,54869,63746860
52,54869,64126068
53,54869,64553944
54,54869,65050732
55,54869,65523246
56,54869,66000214
57,54869,66406074
58,54869,66884170
59,54869,67356871
60,54869,67797543
