ts,mem_some_total_us,io_some_total_us
0,85412,44079
1,85412,51240
2,85412,51570
3,85412,52821
4,85412,52821
5,85412,52821
6,85412,52821
7,85412,52821
8,85412,52821
9,85412,52821
10,85412,52821
11,85412,52821
12,85412,52821
13,85412,53011
14,85412,53011
15,85412,53011
16,85839,53011
17,87281,53011
18,88656,53011
19,89891,53011
20,91259,53011
21,92583,53011
22,93778,53011
23,94949,53011
24,96375,53011
25,97893,53148
26,99220,53510
27,100411,53510
28,101775,53510
29,102998,53510
30,104461,53510
31,105740,53510
32,106890,53510
33,108086,53510
34,109502,53510
35,110856,53723
36,112158,53723
37,113313,53723
38,114541,53723
39,115914,53986
40,117106,53986
41,118507,53986
42,119869,53986
43,121102,54493
44,122464,54493
45,123719,54493
46,124945,56797
47,126109,56797
48,127231,56797
49,127231,56877
50,127231,56877
51,127231,56877
52,127231,56877
53,127231,56877
54,127231,56877
55,127231,56972
56,127231,56972
57,127231,56972
58,127231,56972
59,127231,56972
60,127231,56972
