ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,25,0,728177,0
1,25,0,762049,0
2,25,0,762049,0
3,0,0,762053,0
4,0,0,762053,0
5,0,0,762057,0
6,4,0,762057,0
7,4,0,762057,0
8,4,0,762057,0
9,4,0,762057,0
10,4,0,762121,0
11,4,0,762121,0
12,4,0,762121,0
13,4,0,762121,0
14,4,0,762121,0
15,4,0,762121,0
16,4,0,762121,0
17,4,0,762121,0
18,4,0,762121,0
19,4,0,762121,0
20,4,0,762121,0
21,4,0,762121,0
22,4,0,762121,0
23,4,0,762121,0
24,4,0,762121,0
25,4,0,762121,0
26,4,0,762121,0
27,4,0,762121,0
28,4,0,762121,0
29,4,0,762121,0
30,4,0,762121,0
31,4,0,762121,0
32,4,0,762121,0
33,4,0,762121,0
34,4,0,762121,0
35,4,0,762121,0
36,4,0,762121,0
37,4,0,762121,0
38,4,0,762121,0
39,4,0,762121,0
40,4,0,762121,0
41,4,0,762121,0
42,4,0,762121,0
43,4,0,762121,0
44,4,0,762121,0
45,4,0,762121,0
46,4,0,762121,0
47,4,0,762121,0
48,4,0,762121,0
49,0,4,762121,0
50,0,4,762121,0
51,0,0,762121,0
52,0,0,762121,0
53,0,0,762121,0
54,0,0,762121,0
55,0,0,762121,0
56,0,0,762185,0
57,0,0,762185,0
58,0,0,762185,0
59,0,0,762185,0
60,0,0,762185,0
