ts,mem_some_total_us,io_some_total_us
0,54869,67858898
1,54869,68180329
2,54869,68624724
3,54869,69113972
4,54869,69566551
5,54869,69916620
6,54869,70257721
7,54869,70576979
8,54869,70898368
9,54869,71209202
10,54869,71398487
11,54869,71611128
12,54869,71821279
13,54869,72031788
14,54869,72235004
15,54869,72480459
16,54889,72636549
17,55249,72792730
18,55642,72966633
19,56192,73147399
20,56549,73348817
21,56776,73521394
22,57114,73670570
23,57409,73814027
24,57637,73979204
25,57866,74107272
26,58152,74270849
27,58423,74448989
28,58702,74655136
29,59049,74869595
30,59216,75029388
31,59491,75252556
32,59746,75440186
33,60065,75710349
34,60548,75944897
35,60865,76195325
36,61186,76464587
37,61577,76742659
38,61951,77017629
39,62400,77310791
40,62679,77542908
41,63213,77837569
42,63560,78146796
43,63930,78504296
44,64224,78747897
45,64704,79112412
46,65052,79412233
47,65450,79722288
48,65835,79999163
49,66254,80324579
50,66597,80567719
51,66952,80798144
52,67476,81058777
53,67854,81403044
54,67854,81961397
55,67854,82808674
56,67854,83485291
57,68040,84286158
58,70293,84810633
59,71098,85305875
60,71634,85603697
