ts,mem_some_total_us,io_some_total_us
0,127231,56972
1,127231,72712
2,127231,72712
3,127231,72712
4,127231,72712
5,127231,72712
6,127231,72712
7,127231,72712
8,127231,72712
9,127231,72712
10,127231,73031
11,127231,73031
12,127231,73031
13,127231,73031
14,127231,73031
15,127231,73031
16,127524,73031
17,128623,73031
18,130003,73031
19,131442,77050
20,132724,77050
21,133709,77050
22,134668,77050
23,135577,77163
24,136628,81357
25,137540,81357
26,138469,81357
27,139451,81357
28,140401,81357
29,141332,81357
30,142313,81357
31,143331,81357
32,144336,81357
33,145303,81357
34,146396,81357
35,147462,81483
36,148796,81483
37,149825,81483
38,150756,81483
39,151725,81483
40,152776,81483
41,153832,81483
42,154870,81483
43,155885,81483
44,156779,81502
45,157994,82444
46,158987,82444
47,159899,82444
48,160922,82444
49,161864,82444
50,162815,82686
51,164022,82686
52,165222,82686
53,166013,82686
54,166013,82686
55,166013,82686
56,166013,82686
57,166151,82686
58,167481,82686
59,168806,82830
60,169994,82830
