ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,3,0,764601,0
1,3,0,798401,0
2,3,0,798401,0
3,3,0,798401,0
4,3,0,798405,0
5,3,0,798405,0
6,4,0,798405,0
7,4,0,798405,0
8,4,0,798405,0
9,4,0,798405,0
10,4,0,798481,0
11,4,0,798481,0
12,4,0,798481,0
13,4,0,798481,0
14,4,0,798481,0
15,4,0,798481,0
16,1,0,798481,0
17,1,0,798481,0
18,1,0,798481,0
19,1,0,798481,0
20,1,0,798481,0
21,4,0,798481,0
22,4,0,798481,0
23,4,0,798481,0
24,4,0,798481,0
25,4,0,798481,0
26,4,0,798481,0
27,4,0,798481,0
28,4,0,798481,0
29,4,0,798481,0
30,4,0,798753,0
31,4,0,798753,0
32,4,0,798753,0
33,4,0,798753,0
34,4,0,798753,0
35,4,0,798753,0
36,0,4,798753,0
37,0,0,798753,0
38,0,0,798753,0
39,0,0,798753,0
40,0,0,798753,0
41,0,0,798753,0
42,0,0,798753,0
43,0,0,798753,0
44,0,0,798753,0
45,0,0,798753,0
46,0,0,798753,0
47,0,0,798753,0
48,0,0,798753,0
49,0,0,798753,0
50,0,0,798753,0
51,0,0,798753,0
52,0,0,798753,0
53,0,0,798753,0
54,0,0,798753,0
55,0,0,798753,0
56,0,0,798753,0
57,0,0,798753,0
58,0,0,798753,0
59,0,0,798753,0
60,0,0,798753,0
