ts,mem_some_total_us,io_some_total_us
0,72193,85756838
1,72193,86238981
2,72193,86914014
3,72193,87601375
4,72193,88110733
5,72193,88728467
6,72193,89208784
7,72193,89666391
8,72193,90023167
9,72193,90369424
10,72193,90657590
11,72193,90942678
12,72193,91134041
13,72193,91415001
14,72193,91592433
15,72193,91794761
16,72217,92027359
17,72613,92246262
18,72949,92442810
19,73277,92621296
20,73408,92731832
21,73640,92924998
22,73785,93053409
23,73994,93209191
24,74183,93356382
25,74415,93554986
26,74627,93730816
27,74807,93881940
28,75099,94089454
29,75346,94265159
30,75501,94396573
31,75771,94591120
32,76046,94799903
33,76347,95047357
34,76795,95299359
35,77093,95508040
36,77377,95741819
37,77740,96005601
38,78167,96262991
39,78622,96542206
40,78926,96780422
41,79299,97033645
42,79662,97294378
43,80235,97654747
44,80597,97895751
45,80976,98127436
46,81293,98374484
47,81690,98677898
48,82139,98939084
49,82590,99210880
50,82917,99434394
51,83357,99684449
52,83709,99924101
53,84080,100216233
54,84080,100981580
55,84080,101798842
56,84080,102463756
57,84080,103234596
58,85856,103847848
59,89398,104517425
60,90804,105050495
