ts,mem_some_total_us,io_some_total_us
0,170664,83258
1,170664,123400
2,170664,123400
3,170664,123400
4,170664,124876
5,170664,124876
6,170664,124876
7,170664,124876
8,170664,124876
9,170664,124876
10,170664,124876
11,170664,124876
12,170664,127899
13,170664,127899
14,170664,127899
15,170664,127899
16,170971,127899
17,172252,127899
18,173455,127899
19,174584,127899
20,175688,127899
21,176722,127899
22,177777,127899
23,178783,127899
24,179797,127899
25,180791,127899
26,181403,128757
27,182224,128842
28,183163,128842
29,184090,128842
30,185402,128884
31,186311,128884
32,186739,130046
33,187715,130046
34,188898,130046
35,189968,131845
36,190981,131845
37,191960,131845
38,193029,131845
39,194030,131845
40,194940,132569
41,195578,133671
42,196552,133671
43,197417,133671
44,198376,133671
45,199285,133671
46,200226,133671
47,201154,133671
48,201994,133671
49,202879,133671
50,203827,133671
51,204898,133671
52,205922,133768
53,206828,133972
54,206828,133972
55,206828,133972
56,206828,134474
57,206828,134474
58,208230,134474
59,210090,134474
60,211496,134474
