ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,4,0,801381,0
1,4,0,835177,0
2,4,0,835177,0
3,4,0,835177,0
4,4,0,835181,0
5,4,0,835181,0
6,5,0,835181,0
7,5,0,835181,0
8,5,0,835181,0
9,5,0,835265,0
10,5,0,835265,0
11,5,0,835265,0
12,5,0,835265,0
13,5,0,835265,0
14,5,0,835265,0
15,5,0,835265,0
16,1,0,835265,0
17,1,0,835265,0
18,1,0,835265,0
19,1,0,835265,0
20,1,0,835265,0
21,1,0,835265,0
22,4,0,835265,0
23,4,0,835265,0
24,4,0,835265,0
25,4,0,835265,0
26,4,0,835265,0
27,4,0,835265,0
28,4,0,835265,0
29,4,0,835265,0
30,4,0,835265,0
31,4,0,835265,0
32,4,0,835265,0
33,4,0,835265,0
34,4,0,835265,0
35,4,0,835265,0
36,4,0,835265,0
37,0,4,835265,0
38,0,0,835265,0
39,0,0,835265,0
40,0,0,835265,0
41,0,0,835265,0
42,0,0,835265,0
43,0,0,835265,0
44,0,0,835265,0
45,0,0,835265,0
46,0,0,835265,0
47,0,0,835265,0
48,0,0,835265,0
49,0,0,835265,0
50,0,0,835265,0
51,0,0,835265,0
52,0,0,835265,0
53,0,0,835265,0
54,0,0,835265,0
55,0,0,835265,0
56,0,0,835265,0
57,0,0,835265,0
58,0,0,835265,0
59,0,0,835265,0
60,0,0,835265,0
