ts,mem_some_total_us,io_some_total_us
0,91302,105230496
1,91302,105585050
2,91302,106409826
3,91302,107137317
4,91302,107974368
5,91302,108609776
6,91302,109434269
7,91302,110150662
8,91302,110651137
9,91302,110918297
10,91302,111270363
11,91302,111651417
12,91302,112009981
13,91302,112321642
14,91302,112627407
15,91302,112878776
16,91317,113137645
17,91735,113351077
18,92174,113560512
19,92539,113774873
20,92824,113959594
21,93108,114165461
22,93441,114374212
23,93795,114603512
24,94163,114811672
25,94518,115014164
26,94850,115229363
27,95679,115520802
28,96062,115781449
29,96384,115986672
30,96848,116216775
31,97127,116417108
32,97487,116666216
33,97924,116888144
34,98234,117105819
35,98626,117360272
36,99049,117627015
37,99617,117895456
38,100108,118192313
39,100493,118485311
40,101132,118826401
41,101572,119110447
42,102220,119510038
43,102696,119860481
44,103133,120159684
45,103626,120485745
46,104698,120859510
47,105134,121162296
48,105665,121507582
49,106049,121835951
50,106566,122164429
51,107130,122441567
52,107811,122781978
53,108292,123131229
54,108292,123861853
55,108292,124618482
56,108292,125423310
57,108292,126177505
58,110978,126851832
59,112718,127338232
60,113695,127894631
