ts,mem_some_total_us,io_some_total_us
0,212069,134716
1,212069,141700
2,212069,141700
3,212069,146757
4,212069,146757
5,212069,146757
6,212069,146757
7,212069,146757
8,212069,146757
9,212069,146757
10,212069,146757
11,212069,146757
12,212069,146757
13,212069,146757
14,212069,146757
15,212069,149235
16,212239,149235
17,213437,149235
18,214518,149235
19,215612,149235
20,216661,149235
21,217668,149235
22,219042,149235
23,220021,149235
24,221028,149235
25,221999,149235
26,222664,149235
27,223616,149235
28,224556,149235
29,225592,149235
30,226541,149235
31,227469,149235
32,228385,149235
33,229329,149235
34,230532,150700
35,231651,150700
36,232744,150914
37,233756,150914
38,235289,152555
39,236463,152555
40,237553,152555
41,238560,152791
42,239646,152791
43,240704,153051
44,241771,153051
45,242734,153058
46,243778,153058
47,244928,153058
48,245933,153058
49,246994,153058
50,248032,153058
51,249199,153058
52,250630,153058
53,251454,154022
54,251454,156063
55,251454,156063
56,251454,156063
57,251454,156063
58,252877,156063
59,254663,156063
60,256114,156063
