ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,4,0,837713,0
1,4,0,871269,0
2,4,0,871269,0
3,4,0,871273,0
4,4,0,871273,0
5,4,0,871273,0
6,5,0,871273,0
7,5,0,871273,0
8,5,0,871273,0
9,5,0,871357,0
10,5,0,871357,0
11,5,0,871357,0
12,5,0,871357,0
13,5,0,871357,0
14,5,0,871357,0
15,5,0,871357,0
16,5,0,871357,0
17,5,0,871357,0
18,5,0,871357,0
19,5,0,871357,0
20,5,0,871357,0
21,5,0,871357,0
22,5,0,871357,0
23,5,0,871357,0
24,5,0,871357,0
25,5,0,871357,0
26,5,0,871357,0
27,5,0,871357,0
28,5,0,871357,0
29,5,0,871357,0
30,5,0,871357,0
31,1,0,871357,0
32,1,0,871357,0
33,1,0,871357,0
34,1,0,871357,0
35,1,0,871357,0
36,0,0,871357,0
37,4,0,871357,0
38,4,0,871357,0
39,4,0,871357,0
40,4,0,871357,0
41,4,0,871357,0
42,4,0,871357,0
43,4,0,871357,0
44,4,0,871357,0
45,4,0,871357,0
46,4,0,871357,0
47,4,0,871357,0
48,4,0,871357,0
49,4,0,871357,0
50,4,0,871357,0
51,4,0,871357,0
52,4,0,871357,0
53,4,0,871357,0
54,4,0,871357,0
55,4,0,871357,0
56,4,0,871357,0
57,4,0,905093,0
58,4,0,905093,0
59,4,0,905093,0
60,4,0,905093,0
