ts,mem_some_total_us,io_some_total_us
0,114430,128061304
1,114430,128537023
2,114430,129428911
3,114430,130205251
4,114430,131107313
5,114430,131859602
6,114430,132552002
7,114430,132998465
8,114430,133354408
9,114430,133598332
10,114430,133912883
11,114430,134160618
12,114430,134463981
13,114430,134687191
14,114430,134991559
15,114430,135227653
16,114536,135450131
17,114875,135656693
18,115190,135874021
19,115459,136041098
20,115781,136232660
21,116050,136414928
22,116573,136591676
23,116784,136731326
24,117034,136925426
25,117228,137098072
26,117538,137319592
27,117790,137519585
28,118048,137691147
29,118233,137819087
30,118479,137999549
31,118706,138184721
32,118991,138371660
33,119268,138533994
34,119833,138800154
35,120207,139016466
36,120697,139297740
37,121060,139561782
38,121554,139872254
39,121883,140138449
40,122328,140461981
41,122730,140708159
42,123195,141016292
43,123673,141326670
44,124102,141638229
45,124542,141982396
46,124966,142322556
47,125408,142597369
48,125833,142912225
49,126214,143152468
50,126529,143460289
51,127032,143741948
52,127524,144054573
53,127848,144327290
54,127848,145018498
55,127848,145900427
56,127848,146802281
57,127848,147385701
58,128749,148131621
59,130380,148771044
60,131433,149287318
