ts,mem_some_total_us,io_some_total_us
0,256493,156100
1,256493,163768
2,256493,163768
3,256493,165202
4,256493,165202
5,256493,165202
6,256493,165202
7,256493,167007
8,256493,167007
9,256493,167007
10,256493,167007
11,256493,167107
12,256493,167345
13,256493,167345
14,256493,167345
15,256493,168270
16,256803,168270
17,258499,168270
18,259705,168270
19,260858,168270
20,261924,168270
21,263034,168270
22,264003,168270
23,264974,168270
24,265973,169035
25,266815,169035
26,267720,169035
27,268695,169164
28,269602,169164
29,270495,169635
30,271383,169635
31,272287,169635
32,273189,169884
33,274056,169884
34,275442,170729
35,276504,170729
36,277582,170729
37,278618,170729
38,279727,170729
39,280900,170729
40,281996,170729
41,283080,170729
42,284302,170729
43,285277,170729
44,286279,170729
45,287292,170729
46,288300,170729
47,289297,170729
48,290300,170729
49,291303,170744
50,292680,170744
51,293786,170744
52,294996,170744
53,295804,170744
54,295804,170744
55,295804,170744
56,295804,171261
57,295804,171603
58,297164,171603
59,298819,171603
60,300227,171603
