ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,3,0,366233,0
1,3,0,400193,0
2,3,0,400265,0
3,3,0,400265,0
4,3,0,400265,0
5,2,0,400265,0
6,2,0,400265,0
7,2,0,400265,0
8,2,0,400265,0
9,2,0,400265,0
10,2,0,400265,0
11,2,0,400265,0
12,2,0,400265,0
13,2,0,400265,0
14,2,0,400265,0
15,2,0,400265,0
16,2,0,400265,0
17,2,0,400269,0
18,2,0,400269,0
19,2,0,400269,0
20,2,0,400269,0
21,2,0,400269,0
22,2,0,400269,0
23,2,0,400269,0
24,2,0,400269,0
25,3,0,400269,0
26,3,0,400333,0
27,3,0,400333,0
28,3,0,400333,0
29,3,0,400333,0
30,1,1,400337,0
31,1,1,400337,0
32,1,1,400337,0
33,1,1,400337,0
34,1,1,400337,0
35,1,1,400337,0
36,4,1,400337,0
37,4,1,400337,0
38,4,1,400337,0
39,4,1,400337,0
40,4,1,400337,0
41,4,0,400337,0
42,4,0,400337,0
43,4,0,400337,0
44,4,0,400337,0
45,4,0,400337,0
46,4,0,400337,0
47,4,0,400337,0
48,4,0,400337,0
49,4,0,400337,0
50,4,0,400337,0
51,4,0,400337,0
52,4,0,400337,0
53,4,0,400337,0
54,4,0,400337,0
55,3,0,400337,0
56,3,0,400337,0
57,3,0,400337,0
58,3,0,400337,0
59,3,0,400337,0
60,3,0,400337,0
