ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,5,0,402717,0
1,5,0,436677,0
2,5,0,436749,0
3,5,0,436749,0
4,5,0,436749,0
5,5,0,436749,0
6,5,0,436749,0
7,2,3,436749,0
8,2,3,436749,0
9,2,3,436749,0
10,2,3,470233,0
11,2,0,470233,0
12,2,0,470233,0
13,2,0,470233,0
14,2,0,470233,0
15,2,0,470233,0
16,2,0,470233,0
17,2,0,470233,0
18,2,0,470233,0
19,2,0,470233,0
20,2,0,470233,0
21,2,0,470233,0
22,2,0,470233,0
23,2,0,470233,0
24,2,0,470233,0
25,2,0,470233,0
26,12,0,470233,0
27,12,0,470233,0
28,12,0,470233,0
29,12,0,470233,0
30,12,0,470233,0
31,10,1,470233,0
32,10,1,470233,0
33,10,1,470233,0
34,10,1,470233,0
35,10,1,470233,0
36,10,1,470233,0
37,11,1,470233,0
38,11,1,470233,0
39,11,1,470233,0
40,11,0,470233,0
41,11,0,470233,0
42,11,0,470233,0
43,11,0,470233,0
44,11,0,470233,0
45,11,0,470233,0
46,0,11,470233,0
47,0,11,470233,0
48,0,0,470233,0
49,0,0,470233,0
50,0,0,470233,0
51,0,0,470233,0
52,0,0,470233,0
53,0,0,470233,0
54,0,0,470233,0
55,0,0,470233,0
56,0,0,470233,0
57,0,0,470233,0
58,0,0,470233,0
59,0,0,470233,0
60,0,0,470233,0
