ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,2,0,472617,0
1,2,0,506637,0
2,2,0,506637,0
3,2,0,506637,0
4,2,0,506637,0
5,2,0,506637,0
6,2,0,506637,0
7,3,0,506637,0
8,3,0,506637,0
9,3,0,506637,0
10,3,0,506637,0
11,3,0,506637,0
12,3,0,506637,0
13,3,0,506637,0
14,3,0,506637,0
15,3,0,506637,0
16,3,0,506641,0
17,3,0,506641,0
18,3,0,506641,0
19,3,0,506641,0
20,3,0,506641,0
21,3,0,506641,0
22,3,0,506641,0
23,3,0,506641,0
24,3,0,506641,0
25,3,0,506641,0
26,3,0,506641,0
27,3,0,506641,0
28,3,0,506641,0
29,3,0,506641,0
30,3,0,506641,0
31,1,1,506645,0
32,1,0,506645,0
33,1,0,506645,0
34,1,0,506729,0
35,1,0,506729,0
36,1,0,506729,0
37,5,0,506729,0
38,5,0,506729,0
39,5,0,506729,0
40,5,0,506729,0
41,5,0,506729,0
42,5,0,506729,0
43,5,0,506729,0
44,5,0,506729,0
45,5,0,506729,0
46,5,0,506729,0
47,5,0,506729,0
48,5,0,506729,0
49,5,0,506729,0
50,5,0,506729,0
51,5,0,506729,0
52,5,0,506729,0
53,5,0,506729,0
54,5,0,506729,0
55,5,0,506729,0
56,5,0,506729,0
57,5,0,506729,0
58,5,0,506729,0
59,5,0,506729,0
60,5,0,506729,0
