ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,1,0,509157,0
1,1,0,542965,0
2,1,0,542965,0
3,1,0,542965,0
4,5,0,542965,0
5,5,0,542965,0
6,5,0,542965,0
7,5,0,542965,0
8,5,0,543037,0
9,5,0,543037,0
10,5,0,543037,0
11,5,0,543037,0
12,5,0,543037,0
13,5,0,543041,0
14,5,0,543041,0
15,5,0,543041,0
16,5,0,543041,0
17,5,0,543041,0
18,5,0,543041,0
19,5,0,543041,0
20,5,0,543041,0
21,5,0,543041,0
22,5,0,543041,0
23,5,0,543041,0
24,5,0,543041,0
25,5,0,543041,0
26,5,0,543041,0
27,5,0,543041,0
28,5,0,543041,0
29,5,0,543041,0
30,4,1,543041,0
31,4,0,543041,0
32,4,0,543041,0
33,4,0,543041,0
34,4,0,543041,0
35,0,4,543041,0
36,0,4,543041,0
37,0,4,543041,0
38,0,4,543041,0
39,0,4,543041,0
40,0,4,543041,0
41,0,4,543041,0
42,0,4,543041,0
43,0,4,543041,0
44,0,4,543041,0
45,0,4,543041,0
46,0,4,543041,0
47,0,4,543041,0
48,0,4,543041,0
49,0,4,543041,0
50,0,4,543041,0
51,0,4,543041,0
52,0,0,543041,0
53,0,0,543041,0
54,0,0,543041,0
55,0,0,543041,0
56,0,0,543041,0
57,0,0,543041,0
58,0,0,543041,0
59,0,0,543041,0
60,0,0,543041,0
