ts,mem_some_total_us,io_some_total_us
0,0,0
1,0,410313
2,0,1171761
3,0,1883595
4,0,2511948
5,0,3309917
6,0,4098613
7,0,4697008
8,0,5316416
9,0,6031514
10,0,6671126
11,0,7501259
12,0,8186411
13,0,8699902
14,0,9249356
15,0,9657972
16,0,9945616
17,0,10193827
18,0,10373410
19,0,10572743
20,0,10754072
21,0,10929673
22,0,11080329
23,0,11303736
24,0,11438086
25,0,11544621
26,0,11622854
27,0,11695222
28,0,11770535
29,0,11819355
30,0,11886390
31,0,11931910
32,0,11969904
33,0,12003506
34,0,12036940
35,0,12065076
36,0,12087643
37,0,12113893
38,0,12127289
39,0,12141623
40,0,12152495
41,0,12162256
42,0,12168564
43,0,12172452
44,0,12177503
45,0,12183016
46,0,12185693
47,0,12190444
48,0,12192659
49,0,12193881
50,0,12194168
51,0,12194862
52,0,12194862
53,0,12247550
54,0,13134126
55,0,14101612
56,0,14902170
57,0,15724254
58,0,16222004
59,0,16817220
60,0,17644276
