ts,mem_some_total_us,io_some_total_us
0,0,0
1,0,10749
2,0,10749
3,0,10749
4,0,10749
5,0,10749
6,0,12868
7,0,13048
8,0,13386
9,0,13386
10,0,13386
11,0,13386
12,0,13386
13,0,13386
14,0,13386
15,0,13386
16,0,13386
17,0,13386
18,0,13386
19,0,13386
20,0,13851
21,0,14153
22,0,14153
23,0,22896
24,0,24450
25,0,24450
26,0,24450
27,0,24909
28,0,25714
29,0,26159
30,0,26205
31,0,26416
32,0,26416
33,0,26416
34,0,26416
35,0,26416
36,0,26517
37,0,26517
38,0,26517
39,0,27466
40,0,27466
41,0,27466
42,0,27626
43,0,27636
44,0,27636
45,0,28105
46,0,28105
47,0,28105
48,0,28105
49,0,28105
50,0,28105
51,0,28105
52,0,29816
53,0,29816
54,0,29816
55,0,29816
56,0,29816
57,0,29816
58,0,29816
59,0,29816
60,0,29816
