ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,4,0,545449,0
1,4,0,579181,0
2,4,0,579181,0
3,4,0,579181,0
4,4,0,579181,0
5,4,0,579181,0
6,5,0,579181,0
7,5,0,579181,0
8,5,0,579253,0
9,5,0,579253,0
10,5,0,579253,0
11,5,0,579253,0
12,5,0,579257,0
13,5,0,579257,0
14,5,0,579257,0
15,5,0,579257,0
16,5,0,579257,0
17,5,0,579257,0
18,5,0,579257,0
19,5,0,579257,0
20,5,0,579257,0
21,5,0,579257,0
22,5,0,579257,0
23,5,0,579309,0
24,5,0,579309,0
25,5,0,579309,0
26,5,0,579309,0
27,5,0,579309,0
28,5,0,579309,0
29,5,0,579309,0
30,5,0,579309,0
31,1,1,579309,0
32,1,1,579309,0
33,1,1,579309,0
34,1,1,579309,0
35,1,1,579309,0
36,0,1,579309,0
37,4,0,579309,0
38,4,0,579309,0
39,4,0,579309,0
40,4,0,579309,0
41,4,0,579309,0
42,4,0,579309,0
43,4,0,579309,0
44,4,0,579309,0
45,4,0,579309,0
46,4,0,579309,0
47,4,0,579309,0
48,4,0,579309,0
49,4,0,579309,0
50,4,0,579309,0
51,4,0,579309,0
52,4,0,579309,0
53,4,0,579309,0
54,4,0,579309,0
55,4,0,579309,0
56,4,0,579309,0
57,4,0,579309,0
58,4,0,579309,0
59,4,0,579309,0
60,4,0,579309,0
