ts,mem_some_total_us,io_some_total_us
0,0,17929497
1,0,18311981
2,0,19145145
3,0,19887037
4,0,20769069
5,0,21487902
6,0,22304603
7,0,22928436
8,0,23607027
9,0,24203011
10,0,24986243
11,0,25761253
12,0,26474506
13,0,26900297
14,0,27179171
15,0,27421409
16,0,27673426
17,0,27911400
18,0,28106894
19,0,28255660
20,0,28409697
21,0,28538379
22,0,28664882
23,0,28788173
24,0,28899831
25,0,29002099
26,0,29115326
27,0,29200747
28,0,29267707
29,0,29318406
30,0,29372931
31,0,29417855
32,0,29469776
33,0,29510140
34,0,29550960
35,0,29581398
36,0,29618763
37,0,29644741
38,0,29662855
39,0,29679338
40,0,29692836
41,0,29706492
42,0,29714940
43,0,29721890
44,0,29726436
45,0,29729477
46,0,29733541
47,0,29735609
48,0,29738902
49,0,29740314
50,0,29740473
51,0,29740575
52,0,29740575
53,0,29803544
54,0,30689013
55,0,31537404
56,0,32456790
57,0,33417271
58,0,34274785
59,0,35029667
60,0,35842425
