ts,mem_some_total_us,io_some_total_us
0,0,29816
1,0,47816
2,0,47816
3,0,47816
4,0,47816
5,0,47816
6,0,47816
7,0,47816
8,0,47816
9,0,48566
10,0,48566
11,0,48566
12,0,48566
13,0,48891
14,0,48891
15,0,48891
16,0,48891
17,0,48891
18,0,50152
19,0,50152
20,0,50152
21,0,50373
22,0,50373
23,0,50534
24,0,52648
25,0,53141
26,0,53141
27,0,53369
28,0,53369
29,0,53369
30,0,53518
31,0,53518
32,0,53518
33,0,53518
34,0,53518
35,0,53518
36,0,57639
37,0,57697
38,0,57697
39,0,57697
40,0,57697
41,0,57697
42,0,57697
43,0,57697
44,0,57697
45,0,57697
46,0,57949
47,0,57949
48,0,57949
49,0,58001
50,0,58461
51,0,58461
52,0,58461
53,0,58727
54,0,58727
55,0,58727
56,0,58727
57,0,58727
58,0,58727
59,0,58727
60,0,58727
