ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,8,0,581877,0
1,8,0,615581,0
2,8,0,615581,0
3,8,0,615581,0
4,8,0,615581,0
5,8,0,615581,0
6,8,0,615581,0
7,4,4,615653,0
8,4,4,615653,0
9,4,0,615653,0
10,4,0,615653,0
11,4,0,615653,0
12,4,0,615657,0
13,4,0,615657,0
14,4,0,615657,0
15,4,0,615657,0
16,4,0,615657,0
17,4,0,615657,0
18,4,0,615657,0
19,4,0,615657,0
20,4,0,615657,0
21,4,0,615657,0
22,4,0,615657,0
23,4,0,615657,0
24,4,0,615657,0
25,4,0,615657,0
26,4,0,615657,0
27,4,0,615657,0
28,4,0,615657,0
29,4,0,615657,0
30,4,0,615657,0
31,0,1,615657,0
32,0,1,615657,0
33,0,1,615657,0
34,0,1,615657,0
35,0,1,615657,0
36,0,1,615657,0
37,4,1,615657,0
38,4,1,615657,0
39,4,1,615657,0
40,4,1,615657,0
41,4,1,615657,0
42,4,1,615657,0
43,4,1,615657,0
44,4,1,615657,0
45,4,1,615657,0
46,4,1,615657,0
47,4,1,615657,0
48,4,1,615657,0
49,4,1,615657,0
50,4,1,615657,0
51,4,1,615657,0
52,4,1,615657,0
53,4,0,615657,0
54,4,0,615657,0
55,4,0,615657,0
56,4,0,615657,0
57,4,0,615657,0
58,4,0,615657,0
59,4,0,615725,0
60,4,0,615805,0
