ts,mem_some_total_us,io_some_total_us
0,0,36107185
1,0,36434176
2,0,37102498
3,0,37895778
4,0,38787635
5,0,39591518
6,0,40497955
7,0,41116328
8,0,41687309
9,0,42372257
10,0,42964277
11,0,43560937
12,0,44267581
13,0,44580378
14,0,44807393
15,0,45063346
16,0,45321150
17,0,45506073
18,0,45696269
19,0,45891430
20,0,46074549
21,0,46208938
22,0,46358383
23,0,46493507
24,0,46613191
25,0,46717249
26,0,46795429
27,0,46847234
28,0,46894073
29,0,46943231
30,0,47003402
31,0,47051585
32,0,47089152
33,0,47125436
34,0,47226321
35,0,47257796
36,0,47282740
37,0,47302916
38,0,47320711
39,0,47338092
40,0,47350369
41,0,47360499
42,0,47366604
43,0,47371333
44,0,47374965
45,0,47381046
46,0,47383855
47,0,47384743
48,0,47386469
49,0,47388039
50,0,47388237
51,0,47388765
52,0,47388765
53,0,47442583
54,0,48271249
55,0,49205955
56,0,49904805
57,0,50622450
58,0,51464733
59,0,52128231
60,0,53070894
