ts,mem_some_total_us,io_some_total_us
0,0,60165
1,0,67604
2,0,67604
3,0,67604
4,0,67604
5,0,67604
6,0,67604
7,0,68098
8,0,68098
9,0,68098
10,0,68098
11,0,68668
12,0,70005
13,0,70005
14,0,70005
15,0,70005
16,0,70005
17,0,70005
18,0,70005
19,0,70005
20,0,70005
21,0,70005
22,0,70005
23,0,70005
24,0,70331
25,0,71809
26,0,71809
27,0,71809
28,0,71809
29,0,71809
30,0,71809
31,0,73499
32,0,73499
33,0,73499
34,0,75988
35,0,75988
36,0,75988
37,0,75988
38,0,75988
39,0,75988
40,0,75988
41,0,76103
42,0,76103
43,0,76103
44,0,76103
45,0,76610
46,0,76610
47,0,76610
48,0,77298
49,0,77298
50,0,77298
51,0,77298
52,0,77298
53,0,77298
54,0,77298
55,0,77613
56,0,77613
57,0,77613
58,0,77613
59,0,77613
60,0,77613
