ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,4,0,618409,0
1,4,0,652497,0
2,5,0,652569,0
3,5,0,652569,0
4,5,0,652569,0
5,5,0,652569,0
6,5,0,652573,0
7,5,0,652573,0
8,5,0,652573,0
9,5,0,652573,0
10,5,0,652573,0
11,5,0,652573,0
12,5,0,652573,0
13,5,0,652573,0
14,5,0,652573,0
15,5,0,652573,0
16,5,0,652573,0
17,5,0,652573,0
18,5,0,652573,0
19,5,0,652573,0
20,5,0,652573,0
21,5,0,652573,0
22,5,0,652573,0
23,5,0,652573,0
24,5,0,652573,0
25,5,0,652573,0
26,1,0,652573,0
27,1,0,652573,0
28,1,0,652573,0
29,1,0,652573,0
30,1,0,652573,0
31,1,0,652573,0
32,4,0,652573,0
33,0,0,652573,0
34,0,0,652573,0
35,0,0,652573,0
36,0,0,652573,0
37,0,0,652573,0
38,0,0,652573,0
39,0,0,652573,0
40,0,0,652573,0
41,0,0,652573,0
42,0,0,652573,0
43,0,0,652573,0
44,0,0,652573,0
45,0,0,652573,0
46,0,0,652573,0
47,0,0,652573,0
48,0,0,652573,0
49,0,0,652573,0
50,0,0,652573,0
51,0,0,652573,0
52,0,0,652573,0
53,0,0,652573,0
54,0,0,652573,0
55,0,0,652573,0
56,0,0,652573,0
57,0,0,652573,0
58,0,0,652573,0
59,0,0,652573,0
60,0,0,652573,0
