ts,mem_some_total_us,io_some_total_us
0,0,0
1,0,408381
2,0,1009861
3,0,1703822
4,0,2225408
5,0,2949508
6,0,3678671
7,0,4435672
8,0,5157517
9,0,5954902
10,0,6667381
11,0,7237075
12,0,7802831
13,0,8395087
14,0,8702013
15,0,8994112
16,310,9175343
17,676,9419672
18,1090,9668356
19,1469,9926320
20,1737,10108298
21,1966,10285192
22,2296,10503974
23,2647,10702683
24,2935,10907638
25,3479,11113721
26,3838,11310660
27,4265,11580291
28,4693,11847066
29,5174,12139309
30,5610,12435169
31,6106,12717193
32,6463,12975454
33,6849,13246977
34,7385,13573159
35,7878,13860965
36,8348,14195466
37,8880,14523368
38,9433,14921707
39,10046,15327500
40,10455,15646161
41,10720,15912359
42,11024,16170882
43,11387,16448739
44,11755,16777007
45,12345,17159157
46,12768,17481707
47,13221,17859622
48,14079,18273217
49,14597,18642175
50,15280,19041244
51,16171,19506759
52,16608,19792254
53,17061,20106715
54,17061,20760607
55,17061,21357474
56,17061,22177757
57,17061,22993088
58,18531,23478457
59,21075,24150755
60,22560,25082891
