ts,mem_some_total_us,io_some_total_us
0,0,0
1,0,8244
2,0,8244
3,0,8244
4,0,9518
5,0,9518
6,0,9518
7,0,9518
8,0,9666
9,0,9666
10,0,9666
11,0,10668
12,0,11311
13,0,11655
14,0,11655
15,0,11655
16,499,12285
17,1899,12285
18,2954,12285
19,3589,12519
20,4306,13192
21,5586,13192
22,6684,16180
23,7696,16180
24,9024,16180
25,10473,16180
26,11720,16180
27,12961,16180
28,14282,16180
29,15318,16180
30,16466,16180
31,17544,16180
32,18694,16180
33,19816,16180
34,20987,16180
35,22249,16180
36,23340,16180
37,24467,16180
38,25702,16180
39,26880,16180
40,27710,16753
41,29301,16753
42,30627,16753
43,32060,16753
44,33568,17736
45,34793,17736
46,36468,17736
47,37305,17736
48,38355,17736
49,39276,25110
50,40204,25110
51,41178,25110
52,42231,25110
53,43119,25110
54,43119,25110
55,43119,25193
56,43119,25193
57,43119,25193
58,43783,25504
59,45626,25504
60,47267,25504
