ts,nr_dirty,nr_writeback,pgpgin,pgscan_kswapd
0,4,0,654989,0
1,4,0,689117,0
2,4,0,689117,0
3,4,0,689117,0
4,4,0,689117,0
5,4,0,689117,0
6,5,0,689125,0
7,5,0,689125,0
8,5,0,689125,0
9,5,0,689125,0
10,5,0,689125,0
11,5,0,689125,0
12,5,0,689125,0
13,5,0,689125,0
14,5,0,689125,0
15,5,0,689125,0
16,5,0,689125,0
17,5,0,689125,0
18,5,0,689125,0
19,5,0,689125,0
20,5,0,689125,0
21,5,0,689125,0
22,5,0,689125,0
23,5,0,689125,0
24,5,0,689125,0
25,5,0,689125,0
26,5,0,689125,0
27,5,0,689125,0
28,5,0,689125,0
29,5,0,689125,0
30,5,0,689125,0
31,1,0,689125,0
32,1,0,689125,0
33,1,0,689125,0
34,1,0,689125,0
35,1,0,689125,0
36,1,0,689125,0
37,4,0,689125,0
38,4,0,689125,0
39,4,0,689125,0
40,4,0,689125,0
41,4,0,689125,0
42,4,0,689125,0
43,4,0,689125,0
44,4,0,689125,0
45,4,0,689125,0
46,4,0,689125,0
47,4,0,689125,0
48,32,0,702069,0
49,32,0,702069,0
50,32,0,702069,0
51,32,0,702069,0
52,32,0,702069,0
53,39,0,702069,0
54,40,0,702069,0
55,40,0,702069,0
56,40,0,702069,0
57,40,0,702069,0
58,40,0,702069,0
59,40,0,702069,0
60,40,0,702069,0
