ts,mem_some_total_us,io_some_total_us
0,22931,25327457
1,22931,25670912
2,22931,26276490
3,22931,26861341
4,22931,27484855
5,22931,28019601
6,22931,28594321
7,22931,29318724
8,22931,29833410
9,22931,30255970
10,22931,30726703
11,22931,30977047
12,22931,31306644
13,22931,31602984
14,22931,31896758
15,22931,32137425
16,22958,32361209
17,23353,32554222
18,23715,32777746
19,24176,32957695
20,24589,33205593
21,24893,33384440
22,25256,33561608
23,25589,33758405
24,25930,33974720
25,26149,34135317
26,26813,34361480
27,27096,34583675
28,27388,34814785
29,27839,35140968
30,28356,35547931
31,28687,35889514
32,28990,36266687
33,29456,36642493
34,30096,37092809
35,30517,37515395
36,31417,38031697
37,31951,38437809
38,32808,39058601
39,33558,39614206
40,33989,40141149
41,34382,40402756
42,34878,40793672
43,35362,41186279
44,36020,41739387
45,36620,42172619
46,37624,42729333
47,38134,43109306
48,38527,43552775
49,38527,44163221
50,38527,44782134
51,38527,45324478
52,38527,46059660
53,38527,46659109
54,38527,47322859
55,38527,48064755
56,38527,48706052
57,38527,49220991
58,38527,50021613
59,38527,50610457
60,38527,51256854
