ts,mem_some_total_us,io_some_total_us
0,48113,25740
1,48113,32952
2,48113,32952
3,48113,32952
4,48113,32952
5,48113,32952
6,48113,32952
7,48113,32952
8,48113,32952
9,48113,32952
10,48113,32952
11,48113,33305
12,48113,33305
13,48113,33305
14,48113,35696
15,48113,35696
16,48396,37214
17,49792,37214
18,50951,37214
19,52030,37214
20,53063,37214
21,54394,37831
22,55442,37831
23,56533,37831
24,57524,37831
25,58520,37831
26,59582,37831
27,60540,38013
28,61494,38013
29,62724,38727
30,64549,38727
31,65913,38727
32,67265,38929
33,68388,39148
34,69837,40273
35,70987,40273
36,72391,40273
37,73514,40273
38,74704,40273
39,75782,40273
40,76902,40273
41,77979,40290
42,79078,40586
43,80168,40586
44,81165,40586
45,82394,40586
46,83457,40586
47,84565,42087
48,85412,42281
49,85412,42281
50,85412,42579
51,85412,42579
52,85412,42579
53,85412,43491
54,85412,43491
55,85412,43491
56,85412,43491
57,85412,43491
58,85412,43491
59,85412,43937
60,85412,43937
